block_number,transaction_hash,transaction_index,log_index,pool_id_or_address,quote_symbol,direction,quotron_amount_wei,quotron_amount
34997648,0x16467c25a73fabb873bf4e8ebc946e86ef43a083e469a123f87c396f41e30b80,16,112,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,96161281520342164,0.096161281520342164
34997768,0xabfafb11a1a555b93422d48a8f885038f1cf190d29a95053a160d7710a7cc0a4,17,44,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,95543504053202860,0.09554350405320286
34998101,0xd984de5153868d5fe6869193a0fa2fa2ac78bd8fc78cbd36f5d82f6a31755cef,8,19,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,47982740320039235,0.047982740320039235
34998140,0xd6e096ec03a18e7be261f5080e89ec014f6465a9e011cefd449b6656c06229b0,8,38,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1206077325824196042,1.206077325824196042
34998140,0xd6e096ec03a18e7be261f5080e89ec014f6465a9e011cefd449b6656c06229b0,8,45,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,53060063460796041,0.053060063460796041
34998140,0xd6e096ec03a18e7be261f5080e89ec014f6465a9e011cefd449b6656c06229b0,8,48,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,29185281665823278,0.029185281665823278
34998221,0xd60804bfc7c03c2002264f35035c9be9f85de39f097d522c369f04ed9b9a5eed,4,13,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1111795517388610636,1.111795517388610636
34998309,0x610e476b32194e550db69e9114a9d980715eb6274bb74b35cf1b6303c376bd0e,5,20,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,81752531654604304,0.081752531654604304
34998388,0x481245b931b5f7434cfd1a6216e55b4d0cdde063338e9f6125a0be0169489923,3,25,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,1905763649015490472,1.905763649015490472
34998759,0xa0d21a7859395d1e386a3a65a87ff507a8a75fa6153b76ed9b7dd4e9450d3b7f,73,392,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,960455079469116838,0.960455079469116838
34998793,0xdd6c9becaa15b5182bf87151c5987042427694ddea835215041dc91c89c58b26,8,37,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,239818926256027214,0.239818926256027214
34998793,0xdd6c9becaa15b5182bf87151c5987042427694ddea835215041dc91c89c58b26,8,40,0x70fc6b95bc9647a87705f0b847ea7e55c5304892d547c92ce0bc40c9c6dbab91,ETH,sell-quotron,565073294167097260,0.56507329416709726
34998793,0xdd6c9becaa15b5182bf87151c5987042427694ddea835215041dc91c89c58b26,8,45,0x12255da5a22c6b07a0a77055d299320611c945426561b5dd7fff93ffb0c843ec,USDG,sell-quotron,49937614072950367,0.049937614072950367
34998793,0xdd6c9becaa15b5182bf87151c5987042427694ddea835215041dc91c89c58b26,8,48,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,50320150703835986,0.050320150703835986
34998793,0xdd6c9becaa15b5182bf87151c5987042427694ddea835215041dc91c89c58b26,8,51,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,sell-quotron,24176126962916211,0.024176126962916211
34999139,0xb96906b96d9d0d53898f12ada005c7696a81df30625b27ac48c7295589b15065,1,2,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,853272847240224905,0.853272847240224905
34999139,0xb96906b96d9d0d53898f12ada005c7696a81df30625b27ac48c7295589b15065,1,7,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,sell-quotron,63469297523894792,0.063469297523894792
34999139,0xb96906b96d9d0d53898f12ada005c7696a81df30625b27ac48c7295589b15065,1,10,0x0e18ada400ced8a77b82426983a7cb35804b3919e56a0c5dd1086856fc3acf2f,USDG,sell-quotron,21089947178665114,0.021089947178665114
34999546,0x5b0276652fc6d7aeac086570497baf5dc2db757a1dc0b806424acf961ae242b9,7,33,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,905088704799420076,0.905088704799420076
34999738,0xa1ccad37bd57a94e5ef4465f05f9242a38bd109b2e58d9f43b413ef65e750476,6,17,0x729d3926864156f4ba2d3c00e6278459e4f3065ede667eafd16db7548678356e,ETH,sell-quotron,1075347955586543906,1.075347955586543906
35000327,0xeaa4a6808f6174534ab6d04c394a9a1e61e5fc7803b26bbcdeaa01525c0972c0,2,8,0x6598930795838a2dff245ef362d9132963c9e3bce815bd346edead74268d7c5c,USDG,sell-quotron,134283287414893699,0.134283287414893699
